"advertiserId","programName","conversionRate","confirmationRate","approvalTime","epc","confirmationTime","joinDate","paymentStatus","adRank","feedEnabled","parentSectors","subSectors","clickMin","clickMax","leadMin","leadMax","saleMin","saleMax","salePercentageMin","salePercentageMax"
"5842","ad4mat DE","0","0 / 0","0","0.00","0","2009-10-12 00:00:00",,"9","no","Retail & Shopping","","","","","","","","80","80"
"18999","Telekom Affiliate DE","0.9","74.3 / 0","52","0.64","52","2017-04-10 00:00:00",,"9","yes","Telco's & Services","Network Operators|Mobile Contract","","","","","2","535","0","0"
"2705","Postbank DE","0.2","20.6 / 0","38","0.13","76","2010-03-02 00:00:00",,"8.9","no","Finance & Insurance","Personal Banking","","","","","37","253","2.2","2.2"
"427","PARSHIP.de","9.9","97 / 68.7","28","1.68","28","2003-07-17 00:00:00",,"8.7","no","Telco's & Services","Dating","","","4","4","","","35","35"
"15406","billigflug DE","2.6","94.8 / 0","41","0.99","82","2014-09-14 00:00:00",,"8.7","no","Travel","Travel Agencies","","","","","8","8","0","0"
"12396","Carrefour BR","3.3","82.4 / 0","37","0.15","64","2016-08-04 00:00:00",,"8.5","yes","Retail & Shopping","Department Stores","","","","","","","2.1","10"
"3471","congstar DE","1","70.6 / 0","46","0.28","47","2007-07-13 00:00:00",,"8.3","yes","Telco's & Services","Network Operators","","","","","2","105","0","0"
"10770","DafitiBR","2","85 / 0","33","0.10","71","2011-12-23 00:00:00",,"8.3","yes","Retail & Shopping","Clothing","","","","","","","2","2"
"12390","Centauro BR","4.3","86.4 / 0","35","0.17","64","2013-04-08 00:00:00",,"8.3","yes","Retail & Shopping","Sports Equipment","","","","","","","8","8"
"13536","Americanas BR","3.8","88.5 / 0","37","0.12","125","2017-07-04 00:00:00",,"8.3","yes","Retail & Shopping","Clothing|Department Stores","","","","","","","2.7","4.5"
"4428","Lottomatica  IT","5.5","57.5 / 86.6","19","0.85","92","2008-02-27 00:00:00",,"8","no","Telco's & Services","Gambling & Competitions|Online Gaming","","","","10","7.7","70","0","0"
"16754","Hoteis.com BR","3.3","98.8 / 0","50","0.39","113","2015-06-17 00:00:00",,"7.7","no","Travel","Hotels & Accommodation","","","","","","","3","10"
"2835","Bitdefender","7.4","90 / 0","29","1.90","29","2007-03-26 00:00:00",,"7.6","yes","Telco's & Services","Entertainment Downloads|Software Downloads","","","","","20","20","30","40"
"19677","Uber BR","1","0 / 100","0","0.01","0","2018-11-14 00:00:00",,"7.6","no","Telco's & Services","Lead Gen","","","1.93","214.66","","","0","0"
"9337","Fluege DE","0","92.7 / 0","39","0.04","40","2010-11-03 00:00:00",,"7.5","no","Travel","Travel Agencies","","","","","8","8","0","0"
"15636","Sky Ticket DE","9.5","82.6 / 0","50","0.46","50","2014-08-21 00:00:00",,"7.4","no","Telco's & Services","Digital TV & Video-on-Demand","","","","","5","15","0","0"
"18070","Credit Agricole IT","5.8","89.1 / 95.6","43","1.84","226","2016-05-26 00:00:00",,"7.1","no","Finance & Insurance","Personal Banking","","","","32","32","45","0","0"
"15541","Lojas Renner BR","9.6","87.7 / 0","34","0.22","48","2016-01-11 00:00:00",,"7","yes","Retail & Shopping","Childrenswear|Clothing|Clothing Accessories","","","","","","","4.5","4.5"
"1045","ElitePartner.de","4.3","96.9 / 59.8","27","0.76","50","2005-02-14 00:00:00",,"6.9","no","Telco's & Services","Dating","","","10","10","","","30","30"
"13537","Submarino BR","3.3","92.1 / 0","43","0.14","125","2017-07-04 00:00:00",,"6.8","yes","Retail & Shopping","Department Stores","","","","","","","2.7","4.5"
"12066","Sub Viagens BR","8.4","74.3 / 0","41","1.49","70","2016-08-19 00:00:00",,"6.7","yes","Travel","Travel Agencies","","","","","","","4.5","7.5"
"12078","Netshoes BR","2.1","84.8 / 0","35","0.09","91","2013-04-18 00:00:00",,"6.7","yes","Retail & Shopping","Shoes","","","","","","","9","9"
"16550","C&A BR","6.4","80.7 / 0","47","0.18","59","2016-07-21 00:00:00",,"6.7","yes","Retail & Shopping","Clothing|Clothing Accessories","","","","","","","3","8.5"
"454","Sky DE","1.9","73.3 / 0","50","0.38","50","2003-09-27 00:00:00",,"6.6","no","Telco's & Services","Digital TV & Video-on-Demand","","","","","20","50","0","0"
"258","Conrad Electronic DE","2.5","79.2 / 0","35","0.18","37","2001-06-19 00:00:00",,"6.6","yes","Retail & Shopping","Electronic Superstore","","","","","","","5","5"
"2842","Tom Tailor DE - migrated","12.6","65.3 / 0","72","1.03","99","2007-01-19 00:00:00",,"6.5","yes","Retail & Shopping","Clothing","","","","","","","7","9"
"411","QVC DE","4.7","57 / 0","60","0.13","105","2003-05-31 00:00:00",,"6.5","yes","Retail & Shopping","Department Stores","","","","","","","3","3"
"15242","HP BR","3.8","82.3 / 0","59","0.54","58","2014-05-06 00:00:00",,"6.5","yes","Retail & Shopping","PC & Video Games","","","","","","","4","7"
"14141","Posthaus BR","5","85.7 / 100","29","0.19","45","2013-11-22 00:00:00",,"6.4","yes","Retail & Shopping","Clothing|Clothing Accessories|Shoes","","","","3.5","","","0","9"
"1962","Unitymedia DE - migrated","0.3","86.7 / 0","41","0.19","71","2006-05-02 00:00:00",,"6.3","yes","Telco's & Services","Internet Service Provider","","","","","10","150","0","0"
"16447","H-Hotels.com - migrated","5.5","89.7 / 0","149","0.88","118","2015-05-12 00:00:00",,"6.3","yes","Travel","Hotels & Accommodation","","","","","","","6","8.5"
"10097","mobilcom-debitel DE & freenet TV - migrated","0.6","32.6 / 0","38","0.05","40","2011-07-11 00:00:00",,"6.1","yes","Telco's & Services","Mobile Pay As You Go","","","","","0.1","150","1","10"
"17286","Trocafone BR","4.3","59.7 / 0","44","0.90","61","2016-08-29 00:00:00",,"6.1","yes","Retail & Shopping","Electronic Accessories","","","","","","","10","10"
"6833","momox.de - Einfach verkaufen - migrated","58.5","97.2 / 0","59","0.65","99","2009-10-01 00:00:00",,"6","no","Retail & Shopping","Entertainment Superstore","","","","","","","4","20"
"14929","Nike BR","1.4","60.3 / 0","28","0.14","53","2014-07-12 00:00:00",,"6","yes","Retail & Shopping","Clothing|Clothing Accessories","","","","","","","5","5"
"13314","Fastshop BR","2.2","58.9 / 0","26","0.16","55","2013-04-09 00:00:00",,"6","yes","Retail & Shopping","Electronic Superstore","","","9.5","9.5","","","2.5","2.5"
"3369","Beobank BE","6.1","100 / 100","0","1.73","0","2007-07-08 00:00:00",,"5.9","no","Finance & Insurance","Loans","","","15","35","","","0","0"
"11372","FarFetch BR","1.9","44.7 / 0","42","0.20","87","2013-02-15 00:00:00",,"5.9","yes","Retail & Shopping","Clothing","","","","","","","5","5"
"13821","Azul BR","9.9","70 / 0","43","0.40","70","2016-09-14 00:00:00",,"5.9","yes","Travel","Airlines","","","","","","","1.3","2.6"
"18151","Marabraz BR","1.8","85.4 / 0","34","0.10","62","2017-03-28 00:00:00",,"5.8","yes","Retail & Shopping","Furniture & Soft Furnishings","","","","","","","4.5","7.5"
"17017","oBoticario BR","2.1","82 / 0","36","0.07","52","2015-11-25 00:00:00",,"5.8","yes","Retail & Shopping","Health & Beauty","","","","","","","10","10"
"1098","s.Oliver DE","15.8","99.8 / 71","54","0.38","54","2005-06-19 00:00:00",,"5.7","yes","Retail & Shopping","Clothing","","","1","1","","","5","7"
"453","Douglas Parfümerie - migrated","2.1","93.4 / 0","56","0.09","98","2003-09-23 00:00:00",,"5.7","yes","Retail & Shopping","Health & Beauty","","","","","","","5","10"
"13538","Shoptime BR","2.2","94 / 0","47","0.08","128","2017-07-04 00:00:00",,"5.7","yes","Retail & Shopping","Department Stores","","","","","","","2.7","4.5"
"1152","PARSHIP.ch","3.2","99.3 / 69.1","28","0.56","28","2006-02-16 00:00:00",,"5.6","no","Telco's & Services","Dating","","","4","4","","","35","40"
"885","Immowelt - Immobilienportal DE","5.5","13.4 / 92.4","40","0.08","40","2004-11-25 00:00:00",,"5.3","yes","Finance & Insurance","Property","","","0.6","3","","","25","25"
"9916","Medimops DE - migrated","88.5","100 / 0","57","0.42","100","2011-04-15 00:00:00",,"5.3","yes","Retail & Shopping","Entertainment Superstore","","","","","","","3","10"
"11276","Mobly BR","3.2","72.3 / 0","28","0.15","71","2012-01-30 00:00:00",,"5.3","yes","Retail & Shopping","Furniture & Soft Furnishings","","","","","","","3.3","6.6"
"12526","Dinda BR","6.5","98.2 / 0","33","0.30","120","2015-04-09 00:00:00",,"5.3","yes","Retail & Shopping","Baby & Toddler","","","","","","","5","5"
"15412","Fut Fanatics BR","5.1","72.5 / 0","22","0.15","100","2014-09-02 00:00:00",,"5.3","yes","Retail & Shopping","Sportswear","","","","","","","6","13"
"18490","Aliexpress BR","28.1","97.3 / 0","105","0.27","339","2016-08-19 00:00:00",,"5.3","no","Retail & Shopping","Department Stores","","","","","","","2.6","8"
"13282","Italo Treno IT","11.6","94.5 / 0","31","0.19","213","2013-03-21 00:00:00",,"5.2","no","Travel","Trains","","","","","1.6","1.6","0","0"
"15900","Zattini BR","1.3","82 / 0","31","0.05","66","2014-12-23 00:00:00",,"5.1","yes","Retail & Shopping","Clothing|Clothing Accessories","","","","","","","9","15"
"16966","Loccitane Au Bresil BR","5.2","88.9 / 0","46","0.77","88","2015-09-29 00:00:00",,"5.1","yes","Retail & Shopping","Health & Beauty","","","","","","","8","8"
"4958","CheBanca IT","3.4","99.3 / 98.3","39","1.67","170","2011-02-09 00:00:00",,"5","no","Finance & Insurance","Personal Banking","","","3.7","65","35","40","0","0"
"15054","Descomplica BR","2.3","65.6 / 0","29","0.19","48","2014-04-25 00:00:00",,"5","no","Telco's & Services","Education Training & Recruitment","","","","","18","280","0","0"
"17132","Globus Baumarkt DE - migrated","2.9","99.9 / 0","44","0.08","45","2015-11-02 00:00:00",,"5","yes","Retail & Shopping","DIY|Home & Garden","","","","","","","2","4"
"19562","Gran Cursos Online BR","5.9","87.9 / 0","45","0.31","85","2018-01-30 00:00:00",,"5","yes","Telco's & Services","Education Training & Recruitment","","","","","","","6.5","6.5"
"1439","Meetic IT","4.9","100 / 100","1","0.15","39","2007-04-04 00:00:00",,"4.9","no","Telco's & Services","Dating","","","","3.5","","","50","60"
"17084","MaxMilhas BR","8.5","91.7 / 100","33","0.42","71","2015-11-12 00:00:00",,"4.9","no","Travel","Airlines","","","","","","","3.5","3.5"
"19550","Electrolux BR","1","74.8 / 0","34","0.04","55","2018-03-01 00:00:00",,"4.9","yes","Retail & Shopping","Department Stores|Electronic Accessories|Electronic Superstore","","","","","","","1.4","1.4"
"16733","Eolo IT","3.1","100 / 46.6","0","0.30","0","2015-06-15 00:00:00",,"4.8","no","Telco's & Services","Internet Service Provider","","","22","22","","","0","0"
"16813","Vimcar DE","4.5","93.5 / 88","36","1.50","36","2015-08-13 00:00:00",,"4.8","no","Telco's & Services","Utilities","","","15","15","","","12.5","20"
"5331","Infostrada IT","1.5","100 / 81","0","0.35","0","2008-07-18 00:00:00",,"4.7","no","Telco's & Services","Internet Service Provider","","","29.23","29.23","","","0","0"
"18598","Compra Certa BR","1.6","77.4 / 100","34","0.15","91","2016-10-06 00:00:00",,"4.7","yes","Retail & Shopping","Department Stores","","","","","","","2.2","2.2"
"1147","PARSHIP.at","8.1","97.9 / 65.8","28","1.09","28","2006-02-16 00:00:00",,"4.6","no","Telco's & Services","Dating","","","4","4","","","35","40"
"15612","Ubup DE - migrated","16.2","93.2 / 0","52","0.92","94","2014-09-07 00:00:00",,"4.6","yes","Retail & Shopping","Clothing","","","","","","","2","16"
"16411","Natura BR","3.6","78 / 0","36","0.03","57","2015-03-16 00:00:00",,"4.6","yes","Retail & Shopping","Health & Beauty","","","","","","","3.5","8"
"19041","Droga Raia BR","21","89 / 0","34","1.45","64","2018-08-07 00:00:00",,"4.6","yes","Retail & Shopping","Pharmaceuticals","","","","","","","6","6"
"13885","comma-store DE","25.1","84.8 / 66.7","55","1.59","56","2013-08-11 00:00:00",,"4.5","yes","Retail & Shopping","Womenswear","","","","1","","","5","8"
"13720","Shop2gether BR","3.3","84.5 / 0","35","0.19","76","2013-11-28 00:00:00",,"4.5","yes","Retail & Shopping","Clothing|Clothing Accessories","","","","","","","6","14"
"16132","Genialloyd PRM IT","60","68.1 / 97","0","1.09","0","2015-05-19 00:00:00",,"4.5","no","Finance & Insurance","Insurance","","","1.8","1.8","","","0","0"
"17145","Möbel Höffner DE - migrated","9.4","81.3 / 0","139","1.74","167","2016-02-25 00:00:00",,"4.5","yes","Retail & Shopping","Furniture & Soft Furnishings","","","","","","","1","10"
"19057","Ecadeiras BR","4.7","59.3 / 99.4","23","0.43","57","2017-04-10 00:00:00",,"4.5","no","Retail & Shopping","Home & Garden","","","","1","","","5.5","5.5"
"4104","EWE DE - migrated","0.5","68.5 / 0","45","0.28","45","2008-01-07 00:00:00",,"4.4","no","Telco's & Services","Internet Service Provider","","","","","15","150","0","0"
"15316","Sephora BR","3.3","81.6 / 0","45","0.18","60","2014-06-01 00:00:00",,"4.4","yes","Retail & Shopping","Health & Beauty","","","","","","","9","9"
"16436","ayyildiz DE","1.7","5.7 / 0","35","0.10","36","2015-03-18 00:00:00",,"4.4","no","Telco's & Services","","","","","","1","96","0","0"
"16373","Printi BR","28.5","72.1 / 84.3","22","0.92","71","2015-04-20 00:00:00",,"4.4","yes","Retail & Shopping","Office Supplies","","","1.2","1.2","","","2","20"
"17299","DolceGusto BR","12.3","94.1 / 0","17","0.38","59","2016-11-30 00:00:00",,"4.4","no","Retail & Shopping","","","","","","","","5.5","5.5"
"11510","Catho BR","4.1","59.2 / 0","47","0.31","75","2015-10-15 00:00:00",,"4.3","yes","Telco's & Services","Education Training & Recruitment","","","","","45","45","0","0"
"18340","Simplic BR","0.1","97.3 / 85.9","0","0.01","55","2016-08-16 00:00:00",,"4.3","no","Finance & Insurance","Loans","","","37","37","","","0","0"
"12328","Genertel2012 IT","20","0 / 96.3","0","0.68","0","2013-01-09 00:00:00",,"4.2","no","Finance & Insurance","Insurance","","","2","5","","","0","0"
"13940","Livraria Cultura BR","4.9","99.6 / 0","62","0.10","124","2013-09-10 00:00:00",,"4.2","yes","Retail & Shopping","Department Stores","","","","","","","3","8"
"14163","Clickbus BR","12.5","81.7 / 0","43","0.13","114","2014-01-20 00:00:00",,"4.2","yes","Travel","Coaches","","","","","","","3","6.1"
"13665","Locaweb BR","4.4","67.3 / 0","31","0.46","69","2016-07-11 00:00:00",,"4.2","no","Telco's & Services","B2B Utility Services|Business Services (B2B)|Utilities|Web Hosting","","","","","9","104","0","0"
"1713","Verti IT","5","100 / 90.6","29","0.40","120","2009-11-05 00:00:00",,"4.1","no","Finance & Insurance","Insurance","","","1.45","5.2","45","45","0","0"
"13042","Douglas IT","2.8","93.5 / 0","42","0.21","63","2013-01-04 00:00:00",,"4.1","yes","Retail & Shopping","Health & Beauty","","","","","","","5","15"
"14109","handyinraten DE - migrated","1.2","0 / 26.2","0","0.20","0","2013-09-28 00:00:00",,"4.1","yes","Telco's & Services","Mobile Contract","","","20","20","","","0","0"
"15424","Vivara BR","3","91.8 / 0","18","0.26","99","2014-08-30 00:00:00",,"4.1","yes","Retail & Shopping","Jewellery","","","","","","","5.5","5.5"
"18150","Webcontinental BR","4.2","93.4 / 0","103","0.70","0","2016-09-13 00:00:00",,"4.1","yes","Retail & Shopping","Department Stores","","","","","","","4.5","4.5"
"17793","Nextel BR","8.8","100 / 86.2","44","0.36","54","2016-05-12 00:00:00",,"4","no","Telco's & Services","Lead Gen","","","7","21","24","84","0","0"
"11589","terracanis DE - migrated","18.5","98.6 / 0","39","1.03","39","2012-03-19 00:00:00",,"3.9","yes","Retail & Shopping","Pets & Pet Care","","","","","","","4","11"
"11100","Kanui BR","1.6","84.6 / 0","34","0.07","73","2011-12-07 00:00:00",,"3.9","yes","Retail & Shopping","Sports Equipment|Sportswear","","","","","","","2","2"
"13275","Evino BR","9.5","49.9 / 0","28","0.32","60","2013-06-30 00:00:00",,"3.9","no","Retail & Shopping","Wine Spirits & Tobacco","","","","","","","9","9"
"13426","Loccitane BR","3.1","88.7 / 0","44","0.41","97","2015-09-29 00:00:00",,"3.9","yes","Retail & Shopping","Health & Beauty","","","","","","","8","8"
"19598","Almundo BR","3.8","75.4 / 0","24","0.92","54","2018-11-21 00:00:00",,"3.9","no","Travel","Airlines","","","","","","","4","9"
"10483","Douglas PL","4.1","86 / 0","46","0.17","77","2011-08-12 00:00:00",,"3.8","yes","Retail & Shopping","Health & Beauty","","","","","","","5","14"
"12011","Walmart BR","1.7","78.6 / 0","27","0.15","61","2012-11-13 00:00:00",,"3.8","yes","Retail & Shopping","Electronic Superstore","","","","","","","5","5"
"17127","Pkwteile DE","6.7","83.1 / 0","29","0.36","30","2016-03-10 00:00:00",,"3.8","yes","Retail & Shopping","Automotive","","","","","","","5","10"
"17363","Expedia.br","6","83.8 / 0","116","0.76","139","2017-10-23 00:00:00",,"3.8","no","Travel","Airlines|Car Rental|Hotels & Accommodation","","","","","","","1","6"
"1848","Freeshop","1.2","78.4 / 0","21","0.23","39","2006-03-26 00:00:00",,"3.7","yes","Retail & Shopping","Electronic Superstore","","","","","","","2.5","4.5"
"11270","Tricae BR","1.2","83.8 / 0","32","0.04","72","2016-11-25 00:00:00",,"3.7","yes","Retail & Shopping","Baby & Toddler","","","","","","0.01","0","2"
"12554","Par Perfeito BR","2","85.9 / 99.5","19","0.08","52","2012-10-19 00:00:00",,"3.7","no","Telco's & Services","Dating","","","2","2","16.5","16.5","0","0"
"18220","MyParking PRM IT","23.9","96.6 / 0","29","0.24","82","2016-07-14 00:00:00",,"3.7","no","Travel","Airport Parking & Transfers","","","","","","","4.5","4.5"
"18917","Autodoc DE","6.7","77.9 / 0","29","0.31","30","2017-01-19 00:00:00",,"3.7","yes","Retail & Shopping","Automotive|Electronic Accessories","","","","","","","4","8"
"15401","Loungerie BR","6.4","64.6 / 0","18","0.24","66","2014-08-17 00:00:00",,"3.6","yes","Retail & Shopping","Lingerie","","","","","","","6","10"
"16697","Whitelabeled NL","0","0 / 0","1","0.00","0","2015-05-28 00:00:00",,"3.6","no","Finance & Insurance","","","","","","","","100","100"
"17693","Movida BR","5.5","51.1 / 0","72","0.21","0","2018-05-28 00:00:00",,"3.6","no","Travel","Car Rental","","","","","","","7","7"
"3270","Fastweb IT","1.7","82.8 / 100","58","0.30","128","2007-04-26 00:00:00",,"3.5","no","Telco's & Services","Internet Service Provider","","","","3","3","42","0","0"
"867","Medionshop DE - migrated","0","42.5 / 0","39","0.90","39","2004-11-17 00:00:00",,"3.5","yes","Retail & Shopping","Electronic Superstore","","","","","","","3.5","4.5"
"15369","Compass 2014 IT","5","100 / 99.7","0","0.41","0","2014-06-29 00:00:00",,"3.5","no","Finance & Insurance","Loans","","","6.3","6.3","40","63","0","0"
"6201","Mytheresa.com DE","6.7","54.7 / 0","33","2.31","75","2009-03-03 00:00:00",,"3.5","yes","Retail & Shopping","Womenswear","","","","","","","8","12"
"16888","The Beauty Box BR","3.2","85.7 / 0","40","0.46","58","2015-11-25 00:00:00",,"3.5","yes","Retail & Shopping","Health & Beauty","","","","","","","11","11"
"18790","Camicado BR","9.9","75.8 / 96.5","21","0.23","55","2018-06-21 00:00:00",,"3.5","no","Retail & Shopping","Home & Garden","","","16","16","","","5.5","5.5"
"19040","Drogasil BR","17","70.8 / 0","35","0.64","63","2018-08-01 00:00:00",,"3.5","yes","Retail & Shopping","Pharmaceuticals","0","0","0","0","0","0","0","0"
"13920","Onofre BR","8.1","93.8 / 0","27","0.17","75","2015-04-16 00:00:00",,"3.4","yes","Retail & Shopping","Department Stores","","","","","","","3.5","3.5"
"7526","zanox Tools CH","0","0 / 0","0","0.00","0","2010-10-27 00:00:00",,"3.4","no","Retail & Shopping","","","","","","","","80","80"
"15637","Decolar BR","1.2","94.3 / 0","63","0.15","103","2015-01-05 00:00:00",,"3.4","no","Travel","Airlines|Hotels & Accommodation|Local Holidays|Tourism & Attractions|Travel Agencies","","","","","","","1.1","4.4"
"15876","Wine BR","18","77.1 / 0","35","0.58","78","2018-05-18 00:00:00",,"3.4","yes","Retail & Shopping","Wine Spirits & Tobacco","","","","","7","7","7","7"
"19058","Gazin BR","0.3","48.2 / 0","39","0.04","68","2017-04-10 00:00:00",,"3.4","yes","Retail & Shopping","Home & Garden","","","","","","0.01","0","5"
"347","HSE24 - migrated","5.3","96.8 / 65.4","45","0.17","74","2002-09-10 00:00:00",,"3.3","yes","Retail & Shopping","Department Stores","","","4","4","","","4","4"
"16624","makerist DE - migrated","0","98.2 / 100","1","0.06","5","2015-08-07 00:00:00",,"3.3","no","Retail & Shopping","Home & Garden","","","0.2","0.2","","","5","15"
"17916","Pandora BR","4.7","58.5 / 100","32","0.20","79","2016-04-25 00:00:00",,"3.3","yes","Retail & Shopping","Clothing Accessories","","","","","","","5","5"
"16094","GANT DE - migrated","21","62.5 / 0","44","2.01","45","2015-10-01 00:00:00",,"3.2","yes","Retail & Shopping","Clothing|Clothing Accessories|Menswear|Womenswear","","","","","","","8","12"
"16662","Gearbest BR","5.2","82.5 / 0","60","0.05","60","2015-06-22 00:00:00",,"3.2","yes","Retail & Shopping","Computers|Electronic Accessories|Electronic Superstore|Entertainment Superstore|PC & Video Games","","","","","","","1","10"
"16682","Amazon BR","2.1","98.4 / 0","31","0.04","81","2015-08-26 00:00:00",,"3.2","yes","Retail & Shopping","Department Stores","","","","","12","12","6.5","11"
"5563","eterna - migrated","16.3","89.7 / 0","40","2.13","72","2008-09-29 00:00:00",,"3.1","yes","Retail & Shopping","Clothing","","","","","2","2","10","10"
"7871","freenetmobile DE","7.7","82.5 / 0","22","1.05","22","2010-10-05 00:00:00",,"3.1","no","Telco's & Services","Mobile Pay As You Go","","","","","10","35","0","0"
"11275","PrestitiSupermarket IT","8.9","0 / 45.1","0","0.22","0","2012-01-19 00:00:00",,"3.1","no","Finance & Insurance","Loans","","","3","8.5","","","0","0"
"15224","golfhouse DE","5.7","100 / 0","44","0.70","94","2015-05-04 00:00:00",,"3.1","yes","Retail & Shopping","Sports Equipment|Sportswear","","","","","","","6","8"
"18229","Drogaria Sao Paulo BR","7.7","73.8 / 0","22","0.14","63","2016-10-13 00:00:00",,"3.1","yes","Retail & Shopping","Health & Beauty","","","","","","","6","6"
"18347","ich-parke-billiger DE - migrated","8.2","99.9 / 0","60","0.24","62","2016-11-16 00:00:00",,"3.1","no","Travel","Airport Parking & Transfers","","","","","","","6","6"
"18326","Malwee BR","3","85.7 / 0","25","0.10","53","2016-08-17 00:00:00",,"3.1","yes","Retail & Shopping","Clothing","","","","","","","7.7","7.7"
"19551","Farm Rio BR","9.5","89.6 / 0","50","0.26","71","2017-12-15 00:00:00",,"3.1","yes","Retail & Shopping","Clothing|Clothing Accessories","","","","","","","4","4"
"12327","GenertelLife IT","2.8","100 / 94.7","0","0.09","0","2013-01-09 00:00:00",,"3","no","Finance & Insurance","Insurance","","","2.9","3.7","","","0","0"
"19641","Sestini BR","1.7","73.7 / 0","24","0.04","61","2018-07-10 00:00:00",,"3","yes","Retail & Shopping","Clothing Accessories","","","","","","","5.6","5.6"
"18230","Drogaria Pacheco BR","8.3","72.2 / 0","22","0.15","62","2016-10-13 00:00:00",,"3","yes","Retail & Shopping","Health & Beauty","","","","","","","6","6"
"19636","OQVestir BR","3.5","82 / 0","34","0.17","79","2018-06-18 00:00:00",,"3","yes","Retail & Shopping","Clothing","","","","","","0.01","0","14"
"19483","Pneu Store BR","4.8","91.7 / 0","19","0.31","97","2018-01-11 00:00:00",,"3","yes","Retail & Shopping","Automotive","","","","","","","2.8","2.8"
"10055","MutuiSupermarket","0.7","100 / 77.7","0","0.07","0","2011-06-13 00:00:00",,"2.9","no","Finance & Insurance","Mortgages","","","8.5","21","","","0","0"
"334","Versandhaus Wenz DE - migrated","0","87.4 / 0","64","2.33","84","2008-07-06 00:00:00",,"2.9","yes","Retail & Shopping","Department Stores","","0.21","","","","2","0","10"
"18688","Central Ar BR","1.6","47.1 / 0","23","0.22","51","2017-02-14 00:00:00",,"2.9","yes","Retail & Shopping","Home & Garden","","","","","","","2.8","2.8"
"15192","Aliexpress EU - MIGRATED 10-10-2018","37","100 / 0","150","0.19","212","2014-04-26 00:00:00",,"2.9","no","Retail & Shopping","Department Stores","","","","","","","2.6","8"
"16266","ElitePartner.ch","3","100 / 52","28","1.04","52","2015-09-28 00:00:00",,"2.9","no","Telco's & Services","Dating","","","10","10","","","30","30"
"19596","Instacarro BR","8.5","0 / 98.4","0","0.28","0","2018-05-03 00:00:00",,"2.9","no","Retail & Shopping","Automotive","","","14","14","","","0","0"
"7853","Feltrinelli IT","18","86.3 / 0","21","0.41","149","2010-09-09 00:00:00",,"2.8","yes","Retail & Shopping","Books & Subscriptions","","","","","","","2","6"
"12210","Kiko IT","4.7","98 / 0","33","0.14","98","2012-09-13 00:00:00",,"2.8","yes","Retail & Shopping","Health & Beauty","","","","","","","11","11"
"19446","Vans BR","5.8","65.9 / 0","29","0.13","52","2017-07-25 00:00:00",,"2.8","yes","Retail & Shopping","Clothing|Clothing Accessories","","","","","","0.01","0","4"
"1754","Reifen.com - migrated","6.9","85.4 / 0","36","0.87","36","2006-03-01 00:00:00",,"2.7","yes","Retail & Shopping","Automotive","","","","","","","3","5"
"1414","Klarmobil","0.7","72.7 / 0","21","0.09","21","2005-11-10 00:00:00",,"2.7","no","Telco's & Services","Mobile Pay As You Go","","","","","8","40","1","10"
"16265","ElitePartner.at","1.7","96.4 / 50.6","28","0.49","52","2015-09-28 00:00:00",,"2.7","no","Telco's & Services","Dating","","","10","10","","","30","30"
"13604","Brastemp BR","2.4","81.6 / 0","28","0.27","91","2014-09-19 00:00:00",,"2.7","yes","Retail & Shopping","Department Stores|Electronic Accessories|Electronic Superstore","","","","","","","2.2","2.2"
"15249","Giuliana Flores BR","15.9","83.8 / 0","37","0.62","56","2016-03-15 00:00:00",,"2.7","no","Retail & Shopping","Home & Garden","","","","","","","11","11"
"17122","Avon BR","8.3","74.5 / 0","20","0.22","73","2015-11-17 00:00:00",,"2.7","yes","Retail & Shopping","Health & Beauty","","","","","","","14","14"
"19668","Forever Liss BR","16.9","60.2 / 0","30","0.33","61","2018-10-23 00:00:00",,"2.7","no","Retail & Shopping","Health & Beauty","","","","","","","7","7"
"19177","Mondial Travel BR","15.5","70.2 / 0","24","0.78","57","2017-05-04 00:00:00",,"2.7","no","Finance & Insurance","Insurance","","","","","","","6","6"
"12282","treppen-intercon DE - migrated","0","59.9 / 0","0","0.00","0","2012-09-13 00:00:00",,"2.6","yes","Retail & Shopping","Furniture & Soft Furnishings","","","","","","","4","4"
"17308","iKiosk DE - migrated","9.3","100 / 0","29","0.13","0","2016-08-24 00:00:00",,"2.6","yes","Telco's & Services","Utilities","","","","","","","25","25"
"18246","Autoparti IT","9.9","88.5 / 0","29","0.60","30","2016-06-22 00:00:00",,"2.6","yes","Retail & Shopping","Automotive","","","","","","","5","10"
"16980","Virtual Joias BR","17.9","68.9 / 0","33","0.86","156","2015-08-13 00:00:00",,"2.6","yes","Retail & Shopping","Jewellery","","","","","","","11","11"
"17794","C&C BR","4.3","80.6 / 0","26","0.14","69","2016-05-12 00:00:00",,"2.5","yes","Retail & Shopping","Department Stores","","","","","","","3","4.5"
"11079","Madeindesign IT","0.4","66.2 / 0","3","0.07","14","2011-12-14 00:00:00",,"2.5","yes","Retail & Shopping","Home & Garden","","","","","","","6.5","6.5"
"12060","Norisbank DE","0.5","25.2 / 0","65","0.12","75","2012-08-05 00:00:00",,"2.5","no","Finance & Insurance","Savings & Investments|Loans|Personal Banking","","","","","55","220","0","0"
"12141","Marcyn BR","5.7","59.9 / 0","30","0.22","64","2012-06-20 00:00:00",,"2.5","yes","Retail & Shopping","Lingerie","","","","","","","10","10"
